"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Zambia","ZMB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5","","23.8805961608887","","27.3631839752197","","30.8457717895508","29.8507461547852","26.9230766296387","26.4423084259033","33.1730766296387","34.1346168518066","34.6153831481934","31.7535552978516","33.6492881774902","35.6807518005371","37.0892028808594","38.4976539611816","37.4384231567383","37.9310340881348","32.019702911377","32.019702911377","30.5825233459473","31.8840579986572","29.9516906738281","32.8502426147461","38.164249420166","39.2156867980957",
"Zambia","ZMB","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","12.1713729308666","14.4913627639155","16.6666666666667","24.1433021806854","25.593395252838","23.5069885641677","20.32","13.2635253054101","18.5378590078329","15.6327543424318","9.78886756238004","16.0668380462725","13.5449735449735","15.1382823871907","","","","","","25.9159964253798","38.96484375","49.53095684803","58.2056892778993","55.7262569832402","55.7692307692308","61.9350282485876","57.0628500311139","92.4156190372905","89.9158441030312","89.2701238527314","87.6684661966699","89.7269591768937","86.1359453828687","83.4018776705762","52.3230212570164","72.7565027169518","75.3986946996147","76.626540711208","77.1200716703574","75.4447674513626","77.8628451170324","80.965044334679","74.0709180434635","74.7793802478575","88.2411406863762","85.8343786380306",
"Zambia","ZMB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","102700000","104200000","126000000","128400000","96900000","78700000","62500000","57300000","38300000","40300000","52100000","77800000","94500000","68700000","","","","","","111900000","102400000","106600000","114250000","143200000","114400000","141600000","160700000","483467860.362124","562284083.571158","671525767.107646","618541333.646143","528549368.3844","570852569.65278","665404101.722232","990095738.478017","758019428.957016","850866423.608197","861512074.073592","885102775.442813","864940286.949804","953204795.028419","1011822349.75931","555624813.639169","525541832.298044","938916417.685748","932798981.245121",
"Zambia","ZMB","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","467400000","531800000","690200000","657525000","760700000","1073080000","1000949000","679247000","758447000","1136364000","1406592000","811495000","1043749000","897250000","812964000","1375664000","1298937000","651093000","958443000","835525429.9","660757935.5","477951043.4","656059619.9","709905745.9","870783720.1","662965661.8","543609994","1076851069","751829728.7","891374642.2","757611031.3","986015562.2","1039068543","1055441338","1020926855","524789453.2","757407781","979465787","875224284","947573380","1574903964","2176640527","3683997787","4615541954","5092570059","4220987327","7188581433","8822848124","9362267503","10585082423","9693309457","7039254441","6507521475","8245592683","9052148097","7302284664","7816242421","","","",
"Zambia","ZMB","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","0.0372272143774069","0.0376081233546446","0.0144885540423066","0.110109881753545","0.0131457867753385","0.0894621090692213","0.411809193075771","0.373501833648143","0.108511207770615","0.161127948439057","0.0737953862953863","0.570798341332972","0.2629942639466","0.435441627194205","0.51712006927736","0.886044848160597","0.533898102833317","0.605289874104007","0.652829641407992","0.652829641433275","0.991921582151018","0.682395978215371","1.77654717444377","0.0613501471519784","0.00140318314180206","0.00104826312619741","","","0.0458511661272114","","","0.00020349297779065","1.91767700757129","0.642940805379181","0.0992841294379508","0.0408066372724123","0.0239215921126113","0.00928914528793031","0.0366186137495243","0.21004821811267","0.0542955011573011","3.66673196653202","4.10952258262038","5.02783966244498","7.55785855748401","2.5249979150198","0.685014998563486","0.0870337321019037","0.0930296746723922","0.0205457634914063","0.00254280543805401","0.0213100550999105","0.0124646227156707","0.0143280543366612","0.0146891100957647","0.0071247017055483","0.0420049279840524","","","",
"Zambia","ZMB","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","2.27278562259307","0.300864986837157","0.565053607649957","3.03288848332763","2.35309583278559","4.57412308495173","9.76523279407842","13.8627038470542","13.0152799074952","12.045700145376","9.42106879606879","6.37835106809038","8.19085814692996","5.91083867372527","9.98088476242491","12.0893619372172","9.9306586847553","16.0505488463246","16.0564582348663","16.0564582347923","22.7043538455359","22.3039526125598","25.4611290283336","25.7961683526931","14.6489263568563","14.4437227924724","20.25222250106","23.3756673191628","20.0511020451892","27.2774214733075","33.445897310489","26.741169325475","31.9841500717269","25.7944679666047","13.2595821120985","12.1783255471379","1.75848417907922","4.19739959737869","4.29950067518922","6.40050346285583","3.57038348276073","22.1495883229045","26.2260977574252","18.4227744536714","16.6652078845755","16.5094603469299","21.7442130908389","17.9240051259438","20.1810339577946","22.5796246121493","9.04066151903521","15.2639849575797","19.7123655131695","18.3040758138792","16.5534650995889","21.4346394453296","19.3830368148455","","","",
"Zambia","ZMB","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","97.9083251206724","96.6570837238027","","","99.067702373383","98.0449310787084","98.5303575046949","98.2986622048989","97.6261057105925","97.542255096646","98.3023184795174","97.2614759349268","95.7571904696113","97.6341815139713","","","","","","","","","","","","","","88.1791381986028","","86.5381177779718","78.3539900516249","77.4006651253511","69.8963770609985","62.8673096145898","64.4408880435118","60.42152558648","59.3239690503369","60.0262278586003","46.5515777026805","67.4376806672762","80.8375615687607","78.115678057786","79.7857145794274","78.5949410783729","82.3283419185778","78.5928539303859","69.6772640831742","70.5950312224802","73.0113024824784","74.7917338140349","73.2307379852017","79.5303550713286","77.4606084696989","74.58257510545","78.8010057390337","79.2520502689073","75.6024881567735","71.3565858556083",
"Zambia","ZMB","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","0.0161661679343768","0.00841849770521223","","","0.0146674525358108","0.0295161418317451","0.0630892009777661","0.047079247832306","0.28228413666014","0.312533919473006","0.328638671053933","0.296438041311742","1.65243499246334","1.21810234721838","","","","","","","","","","","","","","1.71235362608718","","3.25976744039326","3.72686574479687","0.783547830813075","1.48959857824548","0.977858760915913","1.29289752455278","1.15597239860319","1.79506605084816","2.52218765663852","1.98338581633262","0.844028120274815","0.838501559249603","0.475593312463412","0.421744083665289","0.486768260911491","0.473192561204892","0.562369702840533","1.31390015743446","2.05442423414307","1.19101690281408","1.55535306091139","0.87637995732854","0.918961664308822","1.01571316093364","1.36783558895875","1.73850401929445","1.67696240024655","2.81611636018103","4.09782634161287",
